product_name,gender,category,color,age_group,season,price,material,sales_count,average_rating,brand,discount
Chino Shorts,Female,Jeans,White,18-24,All,113.19,Wool,386,3.2,ZARA,0
Beach Shirt,Male,Shirt,White,35-45,Autumn,138.78,Viscose,427,3.3,ZARA,15
Business Shirt,Male,Shoes,White,18-24,Winter,75.58,Leather,287,3.8,ZARA,20
Blouse,Male,Shirt,Navy Blue,25-35,Winter,36.28,Viscose,303,3.0,ZARA,5
Chino Shorts,Male,Jacket,Grey,25-35,Spring,139.63,Denim,283,3.6,ZARA,0
Pattern Skirt,Female,Shoes,Navy Blue,25-35,Summer,143.09,Synthetic,291,4.3,ZARA,5
Casual Jeans,Female,Shoes,Grey,25-35,Winter,68.97,Viscose,221,4.5,ZARA,0
Wool Jacket,Female,Jacket,Navy Blue,35-45,Autumn,45.5,Viscose,69,3.5,ZARA,15
Biker Jacket,Male,Skirt,White,35-45,Spring,128.01,Wool,461,3.6,ZARA,10
Heels,Female,Jacket,Navy Blue,25-35,All,99.84,Cotton,207,4.1,ZARA,20
Blouse,Male,Shirt,Grey,35-45,Spring,111.34,Viscose,103,4.3,ZARA,10
Summer Dress,Female,Skirt,Red,25-35,Summer,63.78,Viscose,117,4.7,ZARA,20
Summer Dress,Male,Shoes,White,18-24,Autumn,86.36,Wool,223,4.6,ZARA,20
Chino Shorts,Male,Shorts,White,35-45,All,140.75,Leather,113,4.9,ZARA,15
Beach Shirt,Male,Skirt,Green,18-24,Autumn,120.84,Leather,348,4.1,ZARA,10
Business Shirt,Female,Dress,Red,18-24,Autumn,48.85,Viscose,178,4.5,ZARA,10
Summer Dress,Male,Jeans,Green,18-24,All,35.1,Synthetic,289,3.5,ZARA,5
Casual Jeans,Female,Skirt,White,25-35,Spring,143.13,Cotton,496,4.6,ZARA,10
Beach Shirt,Male,Shorts,Red,35-45,Spring,69.51,Cotton Blend,210,4.9,ZARA,15
Chino Shorts,Female,Shoes,Red,25-35,Spring,35.9,Wool,452,3.7,ZARA,10
Casual Jeans,Male,Shoes,Red,18-24,Autumn,52.21,Wool,51,4.8,ZARA,20
Pattern Skirt,Male,Jacket,Green,25-35,Winter,45.36,Wool,493,4.1,ZARA,15
Heels,Female,Jeans,White,18-24,Winter,56.45,Synthetic,306,4.5,ZARA,0
Heels,Male,Jeans,White,25-35,Autumn,126.66,Cotton Blend,378,4.3,ZARA,5
Biker Jacket,Male,Shirt,White,35-45,Spring,121.99,Cotton,247,4.5,ZARA,15
Heels,Female,Shoes,Beige,35-45,Spring,107.52,Cotton Blend,302,3.0,ZARA,20
Blouse,Female,Shirt,Beige,25-35,Summer,37.61,Cotton Blend,374,3.4,ZARA,10
Wool Jacket,Male,Shoes,White,35-45,All,108.28,Viscose,415,4.9,ZARA,0
Chino Shorts,Male,Blouse,Beige,35-45,Autumn,35.92,Synthetic,77,3.6,ZARA,5
Chino Shorts,Female,Shirt,Brown,18-24,Autumn,116.35,Leather,134,4.1,ZARA,5
Blouse,Female,Jeans,Beige,35-45,Spring,109.52,Leather,329,3.0,ZARA,0
Blouse,Male,Skirt,Brown,18-24,Summer,86.91,Leather,292,4.3,ZARA,15
Casual Jeans,Female,Jeans,White,18-24,Winter,142.34,Synthetic,111,4.5,ZARA,15
Blouse,Male,Dress,Red,35-45,All,48.98,Synthetic,450,4.0,ZARA,10
Blouse,Female,Shoes,Red,25-35,All,71.53,Denim,443,4.2,ZARA,15
Pattern Skirt,Male,Dress,Red,25-35,Winter,142.33,Cotton Blend,265,3.3,ZARA,5
Casual Jeans,Male,Shirt,Red,18-24,Summer,141.78,Leather,432,4.0,ZARA,20
Business Shirt,Female,Jeans,Pink,18-24,Spring,35.07,Wool,92,3.9,ZARA,10
Wool Jacket,Female,Dress,Red,35-45,Spring,142.39,Leather,321,4.1,ZARA,0
Blouse,Male,Shoes,Pink,25-35,Summer,87.16,Cotton,250,3.7,ZARA,15
Business Shirt,Female,Dress,Red,18-24,Spring,21.78,Cotton,296,3.9,ZARA,0
Business Shirt,Male,Skirt,Pink,18-24,All,23.69,Denim,242,3.8,ZARA,5
Summer Dress,Male,Shoes,Pink,25-35,Winter,50.91,Viscose,269,3.1,ZARA,5
Biker Jacket,Female,Blouse,Pink,18-24,Spring,24.05,Viscose,229,4.7,ZARA,0
Pattern Skirt,Female,Shorts,White,35-45,Winter,104.07,Cotton Blend,159,4.5,ZARA,0
Wool Jacket,Male,Shoes,White,18-24,All,24.14,Synthetic,223,3.7,ZARA,5
Blouse,Female,Dress,Brown,35-45,Autumn,102.25,Viscose,152,4.0,ZARA,10
Casual Jeans,Female,Jacket,Beige,18-24,All,71.42,Cotton Blend,378,3.3,ZARA,5
Blouse,Female,Dress,Brown,35-45,Summer,136.57,Viscose,356,3.5,ZARA,5
Beach Shirt,Male,Dress,Beige,18-24,Spring,53.92,Denim,149,4.8,ZARA,5
Casual Jeans,Female,Shorts,Beige,25-35,Summer,121.05,Cotton,496,4.9,ZARA,20
Business Shirt,Male,Skirt,Brown,35-45,Autumn,22.68,Viscose,492,4.3,ZARA,5
Business Shirt,Female,Shorts,Brown,25-35,Spring,64.66,Denim,194,3.8,ZARA,10
Wool Jacket,Female,Jeans,White,35-45,Winter,146.69,Synthetic,91,3.7,ZARA,5
Wool Jacket,Male,Shorts,Brown,25-35,All,44.77,Denim,238,3.1,ZARA,20
Blouse,Male,Dress,Brown,18-24,Summer,41.85,Denim,283,3.7,ZARA,5
Wool Jacket,Male,Shoes,Beige,35-45,Spring,62.0,Leather,208,4.7,ZARA,15
Wool Jacket,Male,Jeans,Brown,35-45,All,32.28,Cotton Blend,100,3.8,ZARA,20
Wool Jacket,Male,Shoes,White,25-35,Spring,101.58,Leather,124,4.3,ZARA,0
Summer Dress,Male,Shorts,White,18-24,All,136.48,Synthetic,259,4.3,ZARA,10
Business Shirt,Male,Blouse,White,25-35,Autumn,142.75,Wool,272,3.7,ZARA,0
Chino Shorts,Female,Jacket,Beige,35-45,All,147.98,Leather,161,4.4,ZARA,10
Casual Jeans,Male,Blouse,White,25-35,Winter,72.86,Viscose,160,4.0,ZARA,20
Beach Shirt,Female,Skirt,Beige,35-45,Spring,61.82,Wool,205,3.6,ZARA,20
Beach Shirt,Male,Skirt,Beige,25-35,All,45.03,Cotton,152,5.0,ZARA,10
Beach Shirt,Male,Shorts,White,18-24,Summer,130.36,Denim,317,4.7,ZARA,5
Biker Jacket,Male,Shorts,White,25-35,Autumn,33.05,Cotton,461,4.7,ZARA,10
Heels,Female,Shoes,White,18-24,Summer,109.11,Denim,70,4.3,ZARA,10
Beach Shirt,Male,Shoes,Beige,25-35,Autumn,64.91,Viscose,311,3.9,ZARA,10
Business Shirt,Male,Shoes,Brown,35-45,All,101.08,Cotton,387,3.0,ZARA,0
Pattern Skirt,Male,Shoes,Brown,35-45,Autumn,119.61,Denim,399,4.1,ZARA,15
Casual Jeans,Female,Skirt,Brown,25-35,Winter,36.91,Leather,135,4.9,ZARA,20
Beach Shirt,Female,Skirt,Beige,18-24,All,104.62,Leather,375,4.4,ZARA,20
Beach Shirt,Female,Blouse,White,18-24,Autumn,143.73,Cotton,72,4.4,ZARA,5
Biker Jacket,Male,Shorts,Beige,35-45,Spring,69.04,Wool,500,4.1,ZARA,5
Chino Shorts,Male,Shorts,Beige,25-35,Autumn,29.9,Cotton,155,3.5,ZARA,20
Wool Jacket,Male,Shoes,Brown,35-45,All,107.14,Leather,440,4.7,ZARA,20
Blouse,Female,Skirt,White,25-35,All,130.49,Wool,367,4.3,ZARA,20
Casual Jeans,Female,Dress,Sky Blue,25-35,All,86.09,Cotton Blend,279,3.1,ZARA,5
Summer Dress,Male,Shorts,Yellow,25-35,Summer,123.72,Leather,301,4.7,ZARA,0
Summer Dress,Female,Shirt,Yellow,35-45,Autumn,28.68,Wool,130,3.5,ZARA,5
Casual Jeans,Female,Jacket,White,25-35,Winter,69.4,Cotton Blend,246,4.8,ZARA,5
Pattern Skirt,Female,Shorts,White,18-24,Summer,80.94,Viscose,211,3.7,ZARA,20
Blouse,Male,Skirt,Sky Blue,18-24,Winter,52.0,Leather,460,4.1,ZARA,20
Summer Dress,Female,Blouse,Sky Blue,18-24,Winter,43.52,Cotton Blend,314,3.5,ZARA,10
Pattern Skirt,Male,Shorts,Yellow,25-35,Autumn,102.06,Cotton Blend,93,4.0,ZARA,20
Beach Shirt,Female,Dress,Yellow,25-35,Winter,108.69,Wool,186,3.6,ZARA,20
Biker Jacket,Male,Shirt,Sky Blue,35-45,Summer,40.57,Viscose,51,4.3,ZARA,5
Blouse,Male,Shorts,Brown,35-45,Winter,60.46,Leather,391,4.0,ZARA,15
Chino Shorts,Male,Dress,White,35-45,Spring,96.35,Wool,84,4.1,ZARA,20
Wool Jacket,Female,Dress,Beige,18-24,All,133.45,Cotton Blend,318,3.6,ZARA,10
Blouse,Female,Shoes,Beige,18-24,Spring,65.43,Cotton,387,3.6,ZARA,20
Chino Shorts,Female,Blouse,Beige,18-24,Winter,121.46,Cotton Blend,469,4.2,ZARA,5
Heels,Male,Blouse,Beige,18-24,Winter,88.88,Leather,440,4.2,ZARA,10
Summer Dress,Male,Shorts,Brown,35-45,All,55.97,Leather,68,4.8,ZARA,0
Heels,Male,Jeans,Beige,25-35,Winter,94.32,Cotton,73,4.6,ZARA,5
Summer Dress,Male,Blouse,Brown,18-24,Winter,100.06,Leather,165,4.8,ZARA,5
Biker Jacket,Female,Shoes,White,18-24,Winter,35.77,Wool,137,3.2,ZARA,0
Summer Dress,Female,Jeans,White,18-24,Winter,51.94,Viscose,471,4.3,ZARA,10
Summer Dress,Male,Jacket,White,25-35,Spring,23.55,Denim,161,3.7,ZARA,10
Chino Shorts,Female,Dress,Beige,25-35,Winter,131.66,Cotton Blend,360,4.5,ZARA,10
Summer Dress,Male,Jeans,Beige,35-45,Autumn,111.79,Denim,426,3.6,ZARA,10
Business Shirt,Female,Skirt,Brown,35-45,Autumn,59.12,Synthetic,88,4.3,ZARA,10
Beach Shirt,Female,Jacket,Brown,35-45,All,105.67,Viscose,353,4.1,ZARA,15
Beach Shirt,Female,Shirt,Beige,25-35,All,69.63,Wool,118,5.0,ZARA,5
Chino Shorts,Male,Skirt,Brown,25-35,All,127.66,Cotton,338,3.7,ZARA,20
Wool Jacket,Female,Jeans,White,25-35,Spring,99.16,Cotton,232,3.1,ZARA,15
Casual Jeans,Male,Skirt,Beige,18-24,Winter,44.57,Cotton,431,4.0,ZARA,5
Summer Dress,Male,Dress,White,25-35,All,110.99,Cotton Blend,351,3.9,ZARA,15
Casual Jeans,Female,Shorts,White,25-35,All,54.68,Wool,394,4.5,ZARA,20
Summer Dress,Male,Blouse,Brown,18-24,Winter,82.85,Synthetic,472,4.4,ZARA,20
Beach Shirt,Female,Shoes,White,35-45,Winter,46.49,Wool,445,4.5,ZARA,15
Heels,Female,Shirt,Brown,25-35,All,47.98,Wool,59,4.7,ZARA,10
Beach Shirt,Female,Dress,Beige,25-35,Spring,147.19,Cotton Blend,90,4.1,ZARA,0
Beach Shirt,Female,Shorts,Beige,25-35,Autumn,30.27,Viscose,494,4.7,ZARA,0
Blouse,Female,Shirt,Brown,35-45,Winter,146.12,Cotton Blend,122,3.9,ZARA,15
Wool Jacket,Female,Skirt,Brown,35-45,Autumn,62.65,Cotton Blend,80,4.4,ZARA,0
Heels,Female,Shoes,Beige,35-45,Winter,67.88,Wool,58,3.8,ZARA,5
Beach Shirt,Female,Shirt,Brown,35-45,Spring,61.23,Synthetic,363,4.7,ZARA,5
Casual Jeans,Female,Shorts,White,18-24,Autumn,61.31,Leather,150,3.6,ZARA,5
Wool Jacket,Female,Skirt,Beige,35-45,Summer,137.54,Cotton Blend,167,3.5,ZARA,10
Biker Jacket,Male,Jeans,Black,35-45,Spring,121.56,Leather,318,4.6,ZARA,20
Beach Shirt,Male,Jeans,Orange,18-24,Spring,123.71,Cotton Blend,207,4.7,ZARA,5
Biker Jacket,Male,Shoes,Black,18-24,Spring,71.62,Cotton,274,4.4,ZARA,0
Wool Jacket,Female,Jeans,Orange,25-35,Autumn,20.8,Denim,399,3.5,ZARA,10
Wool Jacket,Female,Jacket,Orange,35-45,Winter,31.9,Cotton Blend,427,4.7,ZARA,20
Pattern Skirt,Male,Jacket,Orange,18-24,Autumn,48.41,Denim,395,4.6,ZARA,20
Wool Jacket,Female,Dress,Black,18-24,All,127.58,Wool,153,3.7,ZARA,15
Casual Jeans,Female,Blouse,Orange,35-45,Autumn,144.05,Wool,176,4.8,ZARA,20
Summer Dress,Female,Shoes,Black,18-24,Autumn,86.77,Cotton Blend,400,3.6,ZARA,15
Pattern Skirt,Male,Dress,Orange,18-24,Winter,45.47,Viscose,314,4.2,ZARA,10
Biker Jacket,Male,Shoes,Black,18-24,Winter,39.62,Denim,376,4.2,ZARA,20
Chino Shorts,Male,Skirt,Navy Blue,18-24,Summer,36.23,Cotton Blend,207,4.0,ZARA,15
Wool Jacket,Female,Jeans,White,25-35,Winter,53.92,Denim,57,3.6,ZARA,20
Biker Jacket,Female,Jacket,Grey,18-24,Spring,59.72,Leather,123,3.5,ZARA,20
Beach Shirt,Male,Jacket,White,18-24,Summer,62.38,Denim,65,3.8,ZARA,10
Wool Jacket,Female,Skirt,White,18-24,Autumn,59.0,Cotton,282,3.1,ZARA,15
Blouse,Female,Skirt,Grey,18-24,Autumn,142.85,Wool,421,3.4,ZARA,20
Blouse,Male,Shorts,Grey,35-45,Autumn,123.73,Wool,433,4.2,ZARA,15
Biker Jacket,Male,Jacket,White,25-35,Autumn,145.27,Synthetic,230,3.5,ZARA,15
Wool Jacket,Male,Dress,White,18-24,Winter,127.76,Cotton Blend,58,4.3,ZARA,10
Business Shirt,Female,Shoes,White,18-24,Spring,129.36,Wool,95,3.5,ZARA,10
Wool Jacket,Male,Jeans,Navy Blue,25-35,Autumn,49.67,Viscose,205,4.7,ZARA,15
Blouse,Female,Jacket,White,35-45,Spring,140.89,Cotton,372,3.8,ZARA,5
Heels,Female,Shorts,Red,18-24,Spring,25.76,Synthetic,227,4.2,ZARA,5
Wool Jacket,Male,Dress,Red,25-35,Summer,129.68,Leather,254,4.9,ZARA,5
Heels,Male,Blouse,Green,35-45,Autumn,126.46,Synthetic,69,4.5,ZARA,15
Chino Shorts,Female,Blouse,Green,25-35,Winter,27.21,Denim,172,5.0,ZARA,10
Beach Shirt,Male,Skirt,Red,25-35,Winter,64.57,Denim,340,3.8,ZARA,5
Wool Jacket,Male,Shoes,White,35-45,Winter,134.46,Cotton,368,5.0,ZARA,5
Casual Jeans,Female,Shirt,Red,35-45,Autumn,43.77,Wool,453,3.3,ZARA,15
Summer Dress,Female,Skirt,Green,35-45,All,44.2,Denim,249,3.8,ZARA,5
Casual Jeans,Male,Skirt,Red,35-45,Autumn,75.24,Denim,308,3.5,ZARA,15
Heels,Female,Dress,Red,35-45,Spring,135.16,Cotton Blend,247,3.9,ZARA,15
Blouse,Female,Shirt,White,18-24,All,78.91,Denim,405,4.5,ZARA,20
Casual Jeans,Female,Skirt,Beige,25-35,Winter,132.57,Cotton Blend,376,3.9,ZARA,20
Pattern Skirt,Female,Blouse,Beige,25-35,Autumn,122.75,Wool,148,4.8,ZARA,20
Wool Jacket,Female,Dress,White,18-24,Winter,90.65,Synthetic,96,4.7,ZARA,0
Heels,Male,Shirt,Beige,18-24,Autumn,44.19,Cotton,123,4.1,ZARA,20
Casual Jeans,Female,Skirt,Brown,35-45,Winter,105.94,Wool,215,3.5,ZARA,20
Beach Shirt,Male,Skirt,White,35-45,Winter,71.01,Denim,429,4.6,ZARA,0
Wool Jacket,Female,Jeans,Brown,35-45,Spring,140.88,Synthetic,78,3.9,ZARA,10
Casual Jeans,Male,Blouse,Brown,35-45,All,41.79,Cotton Blend,317,3.1,ZARA,10
Pattern Skirt,Female,Shoes,White,35-45,Summer,119.13,Viscose,479,4.4,ZARA,15
Pattern Skirt,Female,Shirt,Beige,35-45,Autumn,97.99,Wool,233,3.5,ZARA,15
Beach Shirt,Male,Dress,Red,25-35,All,51.45,Leather,90,4.3,ZARA,15
Beach Shirt,Male,Shorts,Red,18-24,Spring,37.12,Cotton,83,4.8,ZARA,20
Summer Dress,Female,Jeans,Red,35-45,Summer,60.86,Cotton Blend,251,3.8,ZARA,20
Business Shirt,Female,Dress,Red,25-35,All,47.82,Leather,400,3.0,ZARA,15
Blouse,Female,Jeans,Red,25-35,Autumn,23.65,Denim,299,4.0,ZARA,15
Casual Jeans,Female,Dress,Pink,35-45,All,21.81,Leather,235,3.6,ZARA,10
Biker Jacket,Male,Dress,Pink,18-24,Spring,85.24,Denim,115,4.4,ZARA,20
Business Shirt,Female,Dress,Red,35-45,Autumn,97.55,Wool,184,4.9,ZARA,15
Casual Jeans,Male,Shorts,Red,25-35,Summer,74.16,Cotton Blend,347,4.3,ZARA,5
Summer Dress,Female,Jacket,Red,25-35,Spring,65.22,Wool,52,3.8,ZARA,20
Business Shirt,Female,Jeans,Red,25-35,All,123.63,Viscose,354,4.7,ZARA,5
Wool Jacket,Female,Blouse,Beige,18-24,Autumn,25.22,Denim,335,4.8,ZARA,10
